generation,evals,best_fitness,mean_fitness,params
218,1744,6.994251e+01,6.994251e+01,"[0.14761668952878887, 0.1409163196806331, -0.0013139179216394405, 0.029427223435844807]"
219,1752,6.994251e+01,6.994251e+01,"[0.14761759855216366, 0.14091617053299416, -0.0013169613924122053, 0.029405078746273024]"
220,1760,6.994251e+01,6.994251e+01,"[0.14761651251316055, 0.1409172866018799, -0.0013151782973915072, 0.029401252141383075]"
221,1768,6.994251e+01,6.994251e+01,"[0.14761188237157974, 0.1409172366840009, -0.0013107957467029248, 0.029417292582812202]"
222,1776,6.994251e+01,6.994251e+01,"[0.14761283767869826, 0.1409193434658123, -0.0013117435279108303, 0.02940380095171973]"
223,1784,6.994251e+01,6.994251e+01,"[0.14761356944923462, 0.14092077030431774, -0.0013125140573234007, 0.02939259709664993]"
224,1792,6.994251e+01,6.994251e+01,"[0.14761022585559636, 0.14092146145218737, -0.001309576246142036, 0.02939139296173059]"
225,1800,6.994251e+01,6.994251e+01,"[0.14761089787156348, 0.1409202549448648, -0.001309601992516899, 0.029396062448020767]"
226,1808,6.994251e+01,6.994251e+01,"[0.14760769273392793, 0.14092260394551367, -0.0013085535958499784, 0.029385735521497657]"
227,1816,6.994251e+01,6.994251e+01,"[0.14760830633888702, 0.14092068057059215, -0.0013069365370154734, 0.02940153812074864]"
228,1824,6.994251e+01,6.994325e+01,"[0.14760659049977096, 0.1409221072862209, -0.0013059780912680831, 0.029404967432010046]"
229,1832,6.994251e+01,6.994251e+01,"[0.14760757140684277, 0.14092428919771505, -0.0013079629084040514, 0.02938159468880612]"
230,1840,6.994251e+01,6.994251e+01,"[0.14760797409201915, 0.1409254860169742, -0.001309304742050221, 0.029360905050671095]"
231,1848,6.994251e+01,6.994251e+01,"[0.1476034438197076, 0.14092432070449137, -0.0013040972046179183, 0.029375280504906107]"
232,1856,6.994251e+01,6.994622e+01,"[0.1476054161636278, 0.14092435904089395, -0.0013061035149671476, 0.029362640082203517]"
233,1864,6.994251e+01,6.994325e+01,"[0.14760564723674205, 0.14092644091180184, -0.001306318909656224, 0.02934378726950511]"
234,1872,6.994251e+01,6.994400e+01,"[0.14760377923607412, 0.14092547906364716, -0.0013049718313892884, 0.02935335544170127]"
235,1880,6.994251e+01,6.994474e+01,"[0.14760316214729102, 0.1409269888388245, -0.0013041151465549641, 0.02935641685877235]"
236,1888,6.994251e+01,6.994474e+01,"[0.14760898938957545, 0.1409253247683348, -0.0013075973948900135, 0.029350938116907394]"
237,1896,6.994251e+01,6.994325e+01,"[0.1476124829069936, 0.14092426664007798, -0.0013104858561977365, 0.02935090879775786]"
238,1904,6.994251e+01,6.994251e+01,"[0.147609860278145, 0.1409229980024074, -0.001308499738754263, 0.029372014685826637]"
239,1912,6.994251e+01,6.994251e+01,"[0.14760856192352972, 0.14092398362980257, -0.0013091313822262219, 0.02936834762885103]"
240,1920,6.994251e+01,6.994251e+01,"[0.14760869168490537, 0.14092484751791365, -0.0013081858051270721, 0.02937506941447127]"
241,1928,6.994251e+01,6.994325e+01,"[0.1476084766375432, 0.14092482554808422, -0.0013078684782912519, 0.029377641248878712]"
242,1936,6.994251e+01,6.994251e+01,"[0.14760768175159886, 0.14092498469701187, -0.0013077635564525205, 0.029385538738325157]"
243,1944,6.994251e+01,6.994251e+01,"[0.14760720146615475, 0.14092651986133908, -0.0013066358998442243, 0.029389907875024032]"
244,1952,6.994251e+01,6.994251e+01,"[0.14760564387266606, 0.14092609832608677, -0.0013066059559869057, 0.029398979301118577]"
245,1960,6.994251e+01,6.994251e+01,"[0.14760326828539122, 0.140925932507672, -0.00130493358017751, 0.029406921351350188]"
246,1968,6.994251e+01,6.994325e+01,"[0.14760536594567533, 0.14092727995706578, -0.0013059172200110478, 0.029393493477796247]"
247,1976,6.994251e+01,6.994251e+01,"[0.14760448471289025, 0.14092811483443762, -0.0013052288829187243, 0.029386309755140123]"
248,1984,6.994251e+01,6.997095e+01,"[0.14760577980642617, 0.14092944946654562, -0.0013064029019014792, 0.02937749840660589]"
249,1992,6.994251e+01,7.005627e+01,"[0.14760348446108573, 0.14092708859252964, -0.001304676790379097, 0.029396868869258137]"
250,2000,6.994251e+01,6.994251e+01,"[0.14760200475232488, 0.14092732646544082, -0.0013037675571765006, 0.02941059590547801]"
251,2008,6.994251e+01,6.994251e+01,"[0.14760019669333818, 0.14092726841114647, -0.001302956880815925, 0.02940778549953957]"
252,2016,6.994251e+01,6.994251e+01,"[0.14759747128163103, 0.1409273244614309, -0.001301404186363373, 0.029412714959462377]"
253,2024,6.994251e+01,6.994400e+01,"[0.14759814117229278, 0.14092514138834422, -0.0013013802668055978, 0.029426828831305846]"
254,2032,6.994251e+01,6.994400e+01,"[0.14759864420349944, 0.14092402880928448, -0.001301377336400107, 0.029432869167571395]"
255,2040,6.994251e+01,6.994251e+01,"[0.14760048721300986, 0.14092326825325666, -0.0013025741553664076, 0.0294316686083398]"
256,2048,6.994251e+01,6.994251e+01,"[0.14760146223964532, 0.14092205328209698, -0.0013031398942403112, 0.029427706825237314]"
257,2056,6.994251e+01,6.994251e+01,"[0.14760246931145923, 0.14092349884330607, -0.0013042975772109967, 0.029413081650755075]"
258,2064,6.994251e+01,6.994251e+01,"[0.14760310201507787, 0.14092205476761965, -0.0013046662580125168, 0.029424953555187122]"
259,2072,6.994251e+01,6.994251e+01,"[0.14760683184731516, 0.1409199200098133, -0.0013069939977592864, 0.029426859971017825]"
260,2080,6.994251e+01,6.994251e+01,"[0.14760398553490267, 0.14092119518379756, -0.0013050036191524063, 0.029430504229662414]"
261,2088,6.994251e+01,6.994251e+01,"[0.14760650181524848, 0.14092191308067586, -0.0013069657248458676, 0.029415306503601586]"
262,2096,6.994251e+01,6.994251e+01,"[0.1476079422853428, 0.14092356626167798, -0.0013081488668198109, 0.029398948902484158]"
263,2104,6.994251e+01,6.994251e+01,"[0.14760697265980796, 0.1409229642094827, -0.0013073550646600133, 0.02941107296746029]"
264,2112,6.994251e+01,6.994251e+01,"[0.14760589590834863, 0.14092312650733854, -0.001306903651893128, 0.029412200309138353]"
265,2120,6.994251e+01,6.994251e+01,"[0.14760590659353723, 0.1409221722447458, -0.001306767074328822, 0.029419551369932573]"
266,2128,6.994251e+01,6.994251e+01,"[0.14760884800018506, 0.1409221592516864, -0.001308863509281802, 0.029412080221134063]"
267,2136,6.994251e+01,6.994251e+01,"[0.14760810544428576, 0.1409215628907844, -0.0013081279424869054, 0.029423071171706932]"
268,2144,6.994251e+01,6.994251e+01,"[0.14761048673415192, 0.14092156624415397, -0.0013100720928898091, 0.029412780686756092]"
269,2152,6.994251e+01,6.994251e+01,"[0.14760996540704574, 0.14092111639241636, -0.0013093850668610032, 0.029417302752161693]"
270,2160,6.994251e+01,6.994251e+01,"[0.14760941286632354, 0.14092214347153087, -0.0013090695608241887, 0.029415308265857115]"
271,2168,6.994251e+01,6.994251e+01,"[0.14760824622313512, 0.14092313773566192, -0.001308609345854008, 0.02941099871934097]"
272,2176,6.994251e+01,6.994251e+01,"[0.14760724439687, 0.14092252416788542, -0.0013081021869685917, 0.029417112859788798]"
273,2184,6.994251e+01,6.994251e+01,"[0.14760714018115303, 0.14092236668458116, -0.0013078805928356239, 0.029416317488436226]"
274,2192,6.994251e+01,6.994251e+01,"[0.14760785361553924, 0.14092159393075676, -0.0013084091253661267, 0.029424026044967584]"
275,2200,6.994251e+01,6.994251e+01,"[0.1476078517606214, 0.14092091450018993, -0.0013082146006746895, 0.02943046612593607]"
276,2208,6.994251e+01,6.994251e+01,"[0.14760686239571294, 0.14092093659304478, -0.0013076852698238961, 0.029431694456778495]"
277,2216,6.994251e+01,6.994251e+01,"[0.14760851019072715, 0.14092140766384062, -0.0013087858432226638, 0.02942780855702922]"
278,2224,6.994251e+01,6.994251e+01,"[0.1476074356180142, 0.14092135918877802, -0.001308366238907808, 0.029434538170009964]"
279,2232,6.994251e+01,6.994251e+01,"[0.14760617488382619, 0.14092048308709382, -0.0013075877356512214, 0.02944087832872462]"
280,2240,6.994251e+01,6.994251e+01,"[0.14760612004144347, 0.14092128097031043, -0.001307530100819665, 0.029435491498894146]"
281,2248,6.994251e+01,6.994251e+01,"[0.14760550123209554, 0.1409211517123002, -0.0013071161009695887, 0.029439232574985628]"
282,2256,6.994251e+01,6.994251e+01,"[0.14760332423729774, 0.14092223166310117, -0.0013058545324267428, 0.02943639194637484]"
283,2264,6.994251e+01,6.994251e+01,"[0.1476042503194156, 0.1409214284816843, -0.0013063594607303493, 0.02943465864038481]"
284,2272,6.994251e+01,6.994251e+01,"[0.14760525672438224, 0.1409213761361979, -0.0013071884702382448, 0.029430964143521816]"
285,2280,6.994251e+01,6.994251e+01,"[0.1476047314119503, 0.14092138189561124, -0.001306446848199813, 0.029433151623725156]"
286,2288,6.994251e+01,6.994251e+01,"[0.14760369258780234, 0.14092101870957557, -0.001305596985517894, 0.0294378289866628]"
287,2296,6.994251e+01,6.994251e+01,"[0.14760467733488014, 0.1409204543384293, -0.0013060878416391588, 0.02944012377201679]"
288,2304,6.994251e+01,6.994251e+01,"[0.14760551006187017, 0.14092211392063203, -0.0013067787164457894, 0.02942683129159055]"
289,2312,6.994251e+01,6.994251e+01,"[0.14760668420828268, 0.1409225633376994, -0.0013075237816651743, 0.029422625975394696]"
290,2320,6.994251e+01,6.994251e+01,"[0.14760583093358196, 0.1409230852795669, -0.001307575130486733, 0.029418983484977422]"
291,2328,6.994251e+01,6.994251e+01,"[0.14760672094826022, 0.1409232896340034, -0.001307743041235317, 0.029415019271041613]"
292,2336,6.994251e+01,6.994251e+01,"[0.14760510738269614, 0.1409243558748108, -0.001306724127760639, 0.029412138417678903]"
293,2344,6.994251e+01,6.994251e+01,"[0.14760519506941797, 0.14092439270508939, -0.0013066820760247802, 0.029413246254954055]"
294,2352,6.994251e+01,6.994251e+01,"[0.14760412981817866, 0.14092475387077333, -0.0013059330744282633, 0.029410744607663845]"
295,2360,6.994251e+01,6.994251e+01,"[0.14760400024050568, 0.14092529503098153, -0.0013059658278342812, 0.029406778065663615]"
296,2368,6.994251e+01,6.994251e+01,"[0.14760414837939764, 0.14092588816126791, -0.0013059774444169406, 0.029404149522101703]"
297,2376,6.994251e+01,6.994251e+01,"[0.14760394052118983, 0.14092548454184298, -0.0013059134892626826, 0.02940833739250289]"
298,2384,6.994251e+01,6.994251e+01,"[0.1476035594345812, 0.1409256970387326, -0.0013057021448405557, 0.029406103721748747]"
299,2392,6.994251e+01,6.994251e+01,"[0.14760486133203382, 0.1409251415552606, -0.0013065698328782625, 0.029407245034232456]"
300,2400,6.994251e+01,6.994251e+01,"[0.147605335369007, 0.14092469978147165, -0.0013068747649945275, 0.029408151262055187]"
301,2408,6.994251e+01,6.994251e+01,"[0.14760554887268293, 0.14092458619359266, -0.0013070448467357332, 0.0294073211110427]"
302,2416,6.994251e+01,6.994251e+01,"[0.14760522848174382, 0.14092472698399802, -0.00130687237016644, 0.02940732930764011]"
303,2424,6.994251e+01,6.994251e+01,"[0.1476051327194331, 0.14092439016198546, -0.0013067469093379714, 0.029408557047402584]"
304,2432,6.994251e+01,6.994251e+01,"[0.14760456093368063, 0.14092436681114703, -0.0013063823990912473, 0.029409401201610147]"
305,2440,6.994251e+01,6.994251e+01,"[0.14760356622954626, 0.14092414018879598, -0.0013056957780740077, 0.029411102561852046]"
306,2448,6.994251e+01,6.994251e+01,"[0.14760236141440297, 0.14092371676851773, -0.0013048129622889697, 0.029416037638008145]"
307,2456,6.994251e+01,6.994251e+01,"[0.14760306132020776, 0.14092322446205746, -0.0013049686652955859, 0.02941759608435051]"
308,2464,6.994251e+01,6.994251e+01,"[0.1476042329758562, 0.1409233384296342, -0.0013059229778783132, 0.029413914370267073]"
309,2472,6.994251e+01,6.994251e+01,"[0.14760293312065112, 0.14092263090726986, -0.0013047570331033767, 0.02942097465707163]"
310,2480,6.994251e+01,6.994251e+01,"[0.1476034213390066, 0.14092226863301538, -0.001304840191016531, 0.02942320837970168]"
311,2488,6.994251e+01,6.994251e+01,"[0.14760323299198497, 0.1409223999504993, -0.0013051563489862813, 0.029421614937942743]"
312,2496,6.994251e+01,6.994251e+01,"[0.14760296358775782, 0.1409227780223498, -0.0013051454791775754, 0.0294195027072051]"
313,2504,6.994251e+01,6.994251e+01,"[0.1476030842519116, 0.14092315385208376, -0.0013055237556896273, 0.029416358832366676]"
314,2512,6.994251e+01,6.994251e+01,"[0.147601430671423, 0.14092257150479276, -0.0013042859184027918, 0.029423488225256637]"
315,2520,6.994251e+01,6.994325e+01,"[0.14760247955646455, 0.14092260759534417, -0.0013049348056937728, 0.029420029839346683]"
316,2528,6.994251e+01,6.994251e+01,"[0.1476019112044622, 0.14092278856775708, -0.0013044954219386352, 0.0294175968488077]"
317,2536,6.994251e+01,6.994251e+01,"[0.1476010110309991, 0.14092322134830837, -0.0013038547448574998, 0.029414213817541213]"
318,2544,6.994251e+01,6.994251e+01,"[0.14760228187969204, 0.1409233321266893, -0.0013047693054973057, 0.029413794680704215]"
319,2552,6.994251e+01,6.994251e+01,"[0.1476029586409494, 0.14092341345052325, -0.0013051352136922382, 0.02941079614705677]"
320,2560,6.994251e+01,6.994251e+01,"[0.1476025128375485, 0.14092284090067447, -0.0013046046317727314, 0.02941512529802453]"
321,2568,6.994251e+01,6.994251e+01,"[0.14760172590192022, 0.14092265744496368, -0.001303921420504487, 0.0294163189826242]"
322,2576,6.994251e+01,6.994251e+01,"[0.14760242697934356, 0.14092285270316662, -0.0013043977673410133, 0.029412827493716043]"
323,2584,6.994251e+01,6.994251e+01,"[0.14760260583364593, 0.14092303389193053, -0.0013045485540153676, 0.029411235593459095]"
324,2592,6.994251e+01,6.994251e+01,"[0.1476046250482665, 0.1409233902243549, -0.001305882914098807, 0.02940528115698115]"
325,2600,6.994251e+01,6.994251e+01,"[0.14760510312032793, 0.14092308114582183, -0.0013062858618633469, 0.029406387991541633]"
326,2608,6.994251e+01,6.994251e+01,"[0.14760801483047106, 0.14092353530104668, -0.0013081276414673546, 0.029400703647102282]"
327,2616,6.994251e+01,6.994251e+01,"[0.14760559726061803, 0.14092341707447006, -0.0013066116394826054, 0.02940645254715598]"
328,2624,6.994251e+01,6.994251e+01,"[0.1476039581784026, 0.1409231494902052, -0.0013059469245825608, 0.029411190943050395]"
329,2632,6.994251e+01,6.994251e+01,"[0.14760332505885695, 0.14092297948608856, -0.0013056893757139047, 0.029415004561721574]"
330,2640,6.994251e+01,6.994251e+01,"[0.14760308579606227, 0.14092255785515678, -0.0013053165379879202, 0.029417470246835234]"
331,2648,6.994251e+01,6.994251e+01,"[0.14760074486317495, 0.1409223081991858, -0.001303776399856535, 0.029422561450661234]"
332,2656,6.994251e+01,6.994400e+01,"[0.14760200414885524, 0.14092269099735355, -0.001304788113996408, 0.02941728777333847]"
333,2664,6.994251e+01,6.994251e+01,"[0.14760292075648135, 0.14092331513172932, -0.001305560547615765, 0.02941224051536217]"
334,2672,6.994251e+01,6.994251e+01,"[0.14760277903072766, 0.1409227716223983, -0.00130540889174432, 0.02941507249371294]"
335,2680,6.994251e+01,6.994251e+01,"[0.14760155364685912, 0.14092261901553452, -0.0013046146757398863, 0.029419407717083717]"
336,2688,6.994251e+01,6.994251e+01,"[0.14760255168984449, 0.14092236884668724, -0.0013050773652767355, 0.0294175029652998]"
337,2696,6.994251e+01,6.994251e+01,"[0.14760289067484358, 0.14092278168898326, -0.0013053893200049417, 0.029414485316356764]"
338,2704,6.994251e+01,6.994251e+01,"[0.1476034235378908, 0.14092289859496557, -0.001305747305811744, 0.029413083686010387]"
339,2712,6.994251e+01,6.994251e+01,"[0.14760406119056518, 0.14092285680247413, -0.0013060776046370224, 0.029412788759352142]"
340,2720,6.994251e+01,6.994251e+01,"[0.14760377702807198, 0.14092297100907422, -0.0013060128679181957, 0.02941212817952651]"
341,2728,6.994251e+01,6.994251e+01,"[0.1476037383870847, 0.14092284334520253, -0.001305981665976304, 0.029413030518166773]"
